id_lote,tipo_proceso,horas_transcurridas,horas_restantes,temperatura_grano,temperatura_ambiental,humedad_ambiental,humedad_grano,lluvia,luz,_es_anomalia,_severidad,_tipo_anomalia,_calidad_final_lote,delta_temp
11,lavado,200,13,28.13,25.62,49.61,14.8,0.0,39716.2,False,normal,normal,excelente,2.509999999999998
72,natural,82,234,34.63,30.45,55.99,46.43,0.0,78117.6,False,normal,normal,regular,4.180000000000003
64,natural,296,9,29.26,27.81,49.18,14.1,0.0,26177.7,False,normal,normal,buena,1.4500000000000028
16,lavado,76,130,24.33,22.35,56.41,37.43,0.0,2809.3,False,normal,normal,excelente,1.9799999999999969
30,honey,128,350,27.5,25.41,51.73,38.01,0.0,36525.3,False,normal,normal,buena,2.09
60,natural,428,219,29.79,28.01,60.85,25.67,0.0,0.0,True,riesgo,secado_estancado,baja,1.7799999999999976
33,honey,324,96,34.03,31.29,47.7,21.68,0.0,49660.6,False,normal,normal,buena,2.740000000000002
19,lavado,148,27,23.37,26.83,52.83,19.41,0.0,1430.2,False,normal,normal,buena,-3.4599999999999973
45,honey,32,209,29.55,27.06,54.81,46.12,0.0,32713.2,False,normal,normal,buena,2.490000000000002
59,natural,66,581,36.79,32.76,56.12,43.33,0.0,0.0,False,normal,normal,baja,4.030000000000001
51,natural,384,117,28.1,26.59,56.62,18.91,0.0,514.7,False,normal,normal,regular,1.5100000000000016
57,natural,242,275,22.81,21.34,59.47,34.91,0.0,1940.9,False,normal,normal,buena,1.4699999999999989
66,natural,186,241,34.67,32.98,46.32,30.5,0.0,0.0,False,normal,normal,regular,1.6900000000000048
60,natural,268,379,28.78,27.14,54.99,37.03,0.0,0.0,True,riesgo,secado_estancado,baja,1.6400000000000006
45,honey,100,141,25.13,21.64,56.71,34.29,0.0,0.0,False,normal,normal,buena,3.4899999999999984
60,natural,460,187,25.28,24.62,59.85,23.42,0.0,0.0,False,normal,normal,baja,0.6600000000000001
72,natural,50,266,24.89,22.93,53.5,50.2,0.0,1936.0,False,normal,normal,regular,1.9600000000000009
24,lavado,102,75,24.45,22.77,55.36,31.89,0.0,0.0,False,normal,normal,excelente,1.6799999999999997
64,natural,110,195,34.31,32.12,45.07,37.26,0.0,39467.5,False,normal,normal,buena,2.190000000000005
72,natural,102,214,28.31,25.71,51.55,43.99,0.0,0.0,False,normal,normal,regular,2.599999999999998
71,natural,280,350,34.86,33.51,52.24,35.56,0.0,30960.0,False,normal,normal,regular,1.3500000000000014
64,natural,82,223,34.81,31.56,50.21,42.27,0.0,39181.0,False,normal,normal,buena,3.2500000000000036
7,lavado,144,44,19.43,18.43,59.08,21.83,0.0,0.0,False,normal,normal,excelente,1.0
31,honey,174,206,23.69,22.02,52.84,36.69,0.0,1640.5,False,normal,normal,buena,1.6700000000000017
41,honey,106,234,27.43,24.69,83.91,31.49,0.664,50655.5,True,critico,lluvia_detectada,excelente,2.7399999999999984
13,lavado,104,105,28.4,26.09,55.24,35.58,0.0,38987.8,False,normal,normal,regular,2.3099999999999987
33,honey,78,342,26.59,23.66,56.48,44.05,0.0,0.0,False,normal,normal,buena,2.9299999999999997
54,natural,26,246,26.53,23.51,55.43,46.64,0.0,0.0,False,normal,normal,buena,3.0199999999999996
13,lavado,34,175,31.84,28.64,49.74,52.04,0.0,61680.4,False,normal,normal,regular,3.1999999999999993
61,natural,60,322,37.12,33.09,46.4,45.88,0.0,77478.9,False,normal,normal,excelente,4.029999999999994
61,natural,130,252,35.19,30.1,55.56,37.72,0.0,83566.9,False,normal,normal,excelente,5.089999999999996
29,honey,404,63,28.54,26.73,53.1,14.36,0.0,0.0,False,normal,normal,baja,1.8099999999999987
27,honey,132,168,36.96,32.65,49.19,36.93,0.0,65072.0,True,advertencia,temperatura_alta,regular,4.310000000000002
14,lavado,92,85,30.32,27.62,51.59,31.65,0.0,0.0,False,normal,normal,buena,2.6999999999999993
24,lavado,76,101,25.76,23.32,49.89,38.53,0.0,0.0,False,normal,normal,excelente,2.4400000000000013
21,lavado,16,157,33.16,31.08,45.75,46.19,0.0,30033.6,False,normal,normal,excelente,2.0799999999999983
68,natural,12,314,34.49,26.83,52.83,49.95,0.0,71198.3,False,normal,normal,regular,7.660000000000004
15,lavado,136,45,30.13,27.86,50.6,22.22,0.0,26344.4,False,normal,normal,buena,2.2699999999999996
2,lavado,22,127,23.16,21.29,56.22,46.75,0.0,0.0,False,normal,normal,excelente,1.870000000000001
64,natural,24,281,24.38,23.0,57.62,49.32,0.0,0.0,False,normal,normal,buena,1.379999999999999
38,honey,96,125,22.72,21.41,51.27,35.56,0.0,0.0,False,normal,normal,excelente,1.3099999999999987
32,honey,182,106,31.41,28.37,47.32,25.96,0.0,68591.4,False,normal,normal,excelente,3.039999999999999
61,natural,38,344,39.3,35.79,47.09,47.89,0.0,61610.5,True,advertencia,temperatura_alta,excelente,3.509999999999998
11,lavado,190,23,24.22,22.07,52.53,17.41,0.0,0.0,False,normal,normal,excelente,2.1499999999999986
60,natural,528,119,26.5,24.42,50.95,18.57,0.0,1177.0,False,normal,normal,baja,2.0799999999999983
72,natural,218,98,28.89,23.89,52.18,26.0,0.0,234.1,False,normal,normal,regular,5.0
33,honey,356,64,28.02,26.85,53.27,17.78,0.0,1062.3,False,normal,normal,buena,1.1699999999999982
27,honey,60,240,35.16,30.67,52.17,46.92,0.0,1430.2,True,advertencia,temperatura_alta,regular,4.489999999999995
65,natural,274,77,34.77,32.81,45.21,19.07,0.0,48125.0,False,normal,normal,buena,1.9600000000000009
59,natural,424,223,36.78,34.52,46.73,22.36,0.0,31562.9,False,normal,normal,baja,2.259999999999998
51,natural,308,193,33.47,30.83,52.57,23.89,0.0,0.0,False,normal,normal,regular,2.6400000000000006
57,natural,516,1,35.23,31.86,49.64,12.41,0.0,56758.4,False,normal,normal,buena,3.3699999999999974
18,lavado,30,158,24.06,21.74,90.05,44.33,0.301,0.0,True,critico,humedad_ambiental_alta,regular,2.3200000000000003
52,natural,334,325,29.06,25.78,52.15,32.05,0.0,0.0,False,normal,normal,baja,3.2799999999999976
50,natural,248,347,32.25,29.63,54.65,35.92,0.0,46327.8,False,normal,normal,regular,2.620000000000001
68,natural,68,258,31.43,28.42,53.24,43.27,0.0,0.0,False,normal,normal,regular,3.009999999999998
41,honey,30,310,22.28,21.33,55.04,49.2,0.0,0.0,False,normal,normal,excelente,0.9500000000000028
39,honey,48,345,23.22,21.16,52.05,49.02,0.0,0.0,False,normal,normal,buena,2.0599999999999987
41,honey,264,76,21.22,19.77,54.11,19.9,0.0,0.0,False,normal,normal,excelente,1.4499999999999993
60,natural,362,285,26.69,24.38,58.33,29.93,0.0,0.0,False,normal,normal,baja,2.3100000000000023
51,natural,466,35,36.3,33.04,52.11,11.96,0.0,55134.3,False,normal,normal,regular,3.259999999999998
39,honey,236,157,25.67,25.37,50.41,27.5,0.0,0.0,False,normal,normal,buena,0.3000000000000007
47,honey,94,233,25.54,24.74,59.17,36.71,0.0,1073.3,False,normal,normal,baja,0.8000000000000007
6,lavado,78,120,27.23,25.43,54.75,36.07,0.0,0.0,False,normal,normal,buena,1.8000000000000007
34,honey,142,53,28.05,26.14,56.45,22.52,0.0,1306.4,False,normal,normal,excelente,1.9100000000000001
32,honey,22,266,23.91,23.24,53.03,53.55,0.0,0.0,False,normal,normal,excelente,0.6700000000000017
33,honey,260,160,28.34,25.46,53.7,26.72,0.0,232.8,False,normal,normal,buena,2.879999999999999
52,natural,218,441,26.61,24.51,62.15,40.43,0.0,0.0,False,normal,normal,baja,2.099999999999998
58,natural,376,6,34.2,32.37,44.89,12.04,0.0,27459.8,False,normal,normal,regular,1.8300000000000054
64,natural,290,15,23.25,21.3,58.29,14.64,0.0,2168.3,False,normal,normal,buena,1.9499999999999993
48,honey,70,408,25.71,22.58,53.04,44.75,0.0,575.7,False,normal,normal,buena,3.1300000000000026
52,natural,120,539,27.0,24.41,58.49,46.76,0.0,0.0,False,normal,normal,baja,2.59
15,lavado,34,147,29.4,26.31,50.91,44.0,0.0,55219.6,False,normal,normal,buena,3.09
61,natural,36,346,37.3,32.62,46.7,48.27,0.0,81348.1,False,normal,normal,excelente,4.68
72,natural,314,2,26.0,23.21,61.42,12.21,0.0,2285.2,False,normal,normal,regular,2.789999999999999
62,natural,82,479,34.39,31.71,44.38,43.37,0.0,64739.9,False,normal,normal,baja,2.6799999999999997
57,natural,292,225,23.84,22.58,60.18,30.74,0.0,0.0,False,normal,normal,buena,1.2600000000000016
5,lavado,68,83,29.48,26.8,57.31,36.37,0.0,877.2,False,normal,normal,excelente,2.6799999999999997
66,natural,424,3,37.92,36.77,47.31,11.59,0.0,30494.1,False,normal,normal,regular,1.1499999999999986
11,lavado,32,181,25.34,24.52,50.78,48.4,0.0,38141.1,False,normal,normal,excelente,0.8200000000000003
57,natural,364,153,21.44,20.84,57.48,24.25,0.0,0.0,False,normal,normal,buena,0.6000000000000014
59,natural,552,95,26.38,25.0,59.15,15.82,0.0,109.7,False,normal,normal,baja,1.379999999999999
32,honey,76,212,22.59,19.85,56.18,45.3,0.0,512.7,False,normal,normal,excelente,2.7399999999999984
40,honey,150,115,24.82,22.06,55.89,25.63,0.0,1277.7,False,normal,normal,buena,2.7600000000000016
5,lavado,22,129,24.89,22.18,59.19,51.63,0.0,929.3,False,normal,normal,excelente,2.710000000000001
27,honey,114,186,31.65,29.67,46.59,37.75,0.0,1926.7,False,normal,normal,regular,1.9799999999999969
17,lavado,112,64,32.62,29.94,50.56,24.78,0.0,36472.3,False,normal,normal,buena,2.679999999999996
52,natural,410,249,25.94,24.11,57.16,26.41,0.0,0.0,False,normal,normal,baja,1.8300000000000018
60,natural,314,333,24.07,22.56,61.2,33.47,0.0,0.0,False,normal,normal,baja,1.5100000000000016
48,honey,8,470,27.13,26.03,52.02,49.03,0.0,29711.5,False,normal,normal,buena,1.0999999999999979
15,lavado,12,169,30.89,28.22,48.12,48.81,0.0,63338.4,False,normal,normal,buena,2.6700000000000017
27,honey,238,62,25.34,24.61,48.74,18.52,0.0,1622.2,False,normal,normal,regular,0.7300000000000004
53,natural,292,29,25.92,23.14,59.16,13.78,0.0,1840.7,False,normal,normal,regular,2.780000000000001
57,natural,314,203,23.33,21.27,59.7,28.96,0.0,637.7,False,normal,normal,buena,2.0599999999999987
57,natural,80,437,29.89,26.83,52.83,48.52,0.0,27256.1,False,normal,normal,buena,3.0600000000000023
22,lavado,24,180,23.64,21.67,59.46,52.01,0.0,0.0,False,normal,normal,regular,1.9699999999999989
44,honey,8,462,27.52,24.67,53.8,49.11,0.0,43126.5,False,normal,normal,baja,2.849999999999998
66,natural,390,37,26.97,25.51,59.69,13.86,0.0,0.0,False,normal,normal,regular,1.4599999999999973
58,natural,114,268,31.75,30.04,50.56,41.05,0.0,564.9,False,normal,normal,regular,1.7100000000000009
58,natural,18,364,31.29,29.47,49.17,52.6,0.0,0.0,False,normal,normal,regular,1.8200000000000003
31,honey,36,344,35.56,30.03,41.19,53.11,0.0,87598.1,True,advertencia,temperatura_alta,buena,5.530000000000001
71,natural,8,622,30.46,28.73,59.28,55.07,0.0,41724.8,False,normal,normal,regular,1.7300000000000004
39,honey,204,189,33.93,30.06,49.37,32.01,0.0,76380.6,False,normal,normal,buena,3.870000000000001
50,natural,588,7,37.69,33.56,47.77,11.01,0.0,70140.3,False,normal,normal,regular,4.1299999999999955
55,natural,54,195,28.96,25.81,53.28,44.97,0.0,0.0,False,normal,normal,excelente,3.150000000000002
62,natural,362,199,22.55,21.27,58.37,23.63,0.0,651.3,False,normal,normal,baja,1.2800000000000011
45,honey,202,39,31.5,28.37,50.7,16.82,0.0,70147.9,False,normal,normal,buena,3.129999999999999
44,honey,386,84,19.68,17.65,57.98,17.23,0.0,0.0,False,normal,normal,baja,2.030000000000001
29,honey,394,73,32.77,26.83,52.83,15.13,0.0,48522.9,False,normal,normal,baja,5.940000000000005
55,natural,128,121,32.86,30.11,53.24,32.05,0.0,26926.3,False,normal,normal,excelente,2.75
30,honey,412,66,22.79,26.83,52.83,15.13,0.0,1304.5,False,normal,normal,buena,-4.039999999999999
71,natural,352,278,34.73,31.98,49.42,30.33,0.0,35243.9,False,normal,normal,regular,2.7499999999999964
39,honey,118,275,24.78,22.38,50.27,41.11,0.0,0.0,False,normal,normal,buena,2.400000000000002
17,lavado,160,16,30.06,28.07,49.29,14.04,0.0,37853.1,False,normal,normal,buena,1.9899999999999984
1,lavado,70,129,25.22,22.38,52.61,42.1,0.0,2443.4,False,normal,normal,buena,2.84
70,natural,118,182,25.97,24.42,53.69,32.27,0.0,886.8,False,normal,normal,regular,1.5499999999999972
28,honey,106,102,31.25,28.99,50.58,30.32,0.0,62997.8,False,normal,normal,buena,2.2600000000000016
27,honey,30,270,25.4,24.18,57.8,51.64,0.0,2280.8,False,normal,normal,regular,1.2199999999999989
19,lavado,18,157,30.27,27.88,45.84,50.92,0.0,0.0,False,normal,normal,buena,2.3900000000000006
41,honey,340,0,24.24,21.98,50.99,31.49,0.0,0.0,False,normal,normal,excelente,2.259999999999998
62,natural,148,413,26.28,24.76,52.48,38.49,0.0,1747.2,False,normal,normal,baja,1.5199999999999996
1,lavado,78,121,21.11,19.29,52.5,39.93,0.0,1871.9,False,normal,normal,buena,1.8200000000000003
46,honey,226,292,34.1,31.36,49.02,34.45,0.0,56691.9,False,normal,normal,baja,2.740000000000002
50,natural,56,539,30.53,28.89,56.27,49.68,0.0,31371.7,False,normal,normal,regular,1.6400000000000006
48,honey,4,474,22.53,20.88,50.7,49.27,0.0,0.0,False,normal,normal,buena,1.6500000000000021
68,natural,310,16,28.52,26.27,61.29,12.04,0.0,251.0,False,normal,normal,regular,2.25
28,honey,24,184,23.69,21.3,56.45,45.46,0.0,0.0,False,normal,normal,buena,2.3900000000000006
71,natural,96,534,25.49,22.99,56.76,49.1,0.0,527.2,False,normal,normal,regular,2.5
31,honey,120,260,20.59,19.9,52.94,42.04,0.0,402.2,False,normal,normal,buena,0.6900000000000013
18,lavado,50,138,23.27,20.95,62.25,40.74,0.0,3728.8,False,normal,normal,regular,2.3200000000000003
1,lavado,28,171,22.04,20.46,54.45,52.09,0.0,0.0,False,normal,normal,buena,1.5799999999999983
13,lavado,188,21,27.17,25.21,52.64,16.69,0.0,0.0,False,normal,normal,regular,1.9600000000000009
20,lavado,124,33,21.6,19.35,53.19,20.03,0.0,815.9,False,normal,normal,buena,2.25
61,natural,292,90,24.37,22.94,57.79,20.39,0.0,0.0,False,normal,normal,excelente,1.4299999999999997
49,natural,144,301,24.87,22.83,52.85,36.42,0.0,335.1,False,normal,normal,regular,2.0400000000000027
68,natural,312,14,26.88,25.23,55.35,11.72,0.0,0.0,False,normal,normal,regular,1.6499999999999986
29,honey,282,185,33.1,29.98,50.0,24.9,0.0,1791.5,False,normal,normal,baja,3.120000000000001
48,honey,420,58,32.5,30.64,45.47,16.23,0.0,48729.9,False,normal,normal,buena,1.8599999999999994
11,lavado,122,91,20.41,18.41,60.05,29.47,0.0,1773.4,False,normal,normal,excelente,2.0
19,lavado,10,165,30.86,28.13,49.37,53.19,0.0,54182.3,False,normal,normal,buena,2.7300000000000004
59,natural,72,575,26.96,25.44,57.21,43.06,0.0,0.0,False,normal,normal,baja,1.5199999999999996
65,natural,236,115,30.94,29.1,53.2,23.6,0.0,1780.3,False,normal,normal,buena,1.8399999999999999
33,honey,384,36,21.11,20.04,52.29,14.62,0.0,0.0,False,normal,normal,buena,1.0700000000000003
63,natural,304,208,35.92,33.95,43.27,24.88,0.0,29026.8,False,normal,normal,baja,1.9699999999999989
59,natural,616,31,34.49,32.02,51.03,11.47,0.0,33449.1,False,normal,normal,baja,2.469999999999999
29,honey,50,417,24.47,22.39,49.12,44.34,0.0,69.3,False,normal,normal,baja,2.0799999999999983
51,natural,500,1,30.82,28.76,53.13,10.01,0.0,0.0,False,normal,normal,regular,2.0599999999999987
38,honey,144,77,23.85,22.43,57.95,25.43,0.0,0.0,False,normal,normal,excelente,1.4200000000000017
60,natural,104,543,31.16,28.98,54.83,47.49,0.0,37711.1,False,normal,normal,baja,2.1799999999999997
40,honey,26,239,24.51,22.99,54.06,44.01,0.0,0.0,False,normal,normal,buena,1.5200000000000031
58,natural,276,106,33.92,29.84,86.18,22.28,0.86,74643.9,True,critico,lluvia_detectada,regular,4.080000000000002
68,natural,40,286,34.84,33.76,47.89,46.93,0.0,1430.2,False,normal,normal,regular,1.0800000000000054
15,lavado,80,101,24.53,23.3,51.06,34.38,0.0,31403.1,False,normal,normal,buena,1.2300000000000004
11,lavado,60,153,32.62,29.48,46.01,43.0,0.0,59589.7,False,normal,normal,excelente,3.139999999999997
40,honey,226,39,33.77,30.63,45.76,17.17,0.0,56314.3,False,normal,normal,buena,3.140000000000004
48,honey,466,12,31.31,28.78,50.43,11.58,0.0,51266.0,False,normal,normal,buena,2.5299999999999976
57,natural,212,305,30.96,27.38,52.31,37.68,0.0,429.9,False,normal,normal,buena,3.580000000000002
32,honey,150,138,25.58,22.98,54.95,32.35,0.0,0.0,False,normal,normal,excelente,2.599999999999998
7,lavado,106,82,30.3,27.01,55.85,30.49,0.0,61852.9,False,normal,normal,excelente,3.289999999999999
37,honey,280,99,32.95,31.1,49.4,21.86,0.0,45000.2,False,normal,normal,regular,1.8500000000000014
68,natural,252,74,35.75,31.27,46.27,19.78,0.0,74033.2,False,normal,normal,regular,4.48
5,lavado,134,17,33.42,31.27,51.9,17.39,0.0,44013.6,False,normal,normal,excelente,2.150000000000002
56,natural,186,160,36.63,33.74,50.63,27.71,0.0,0.0,False,normal,normal,buena,2.8900000000000006
52,natural,472,187,34.48,32.84,50.58,23.86,0.0,36002.4,False,normal,normal,baja,1.6399999999999935
55,natural,166,83,30.27,26.82,54.8,23.8,0.0,0.0,False,normal,normal,excelente,3.4499999999999993
9,lavado,16,164,31.72,29.88,46.28,54.49,0.0,28103.8,False,normal,normal,excelente,1.8399999999999999
53,natural,220,101,25.46,23.17,58.74,22.03,0.0,1430.4,False,normal,normal,regular,2.289999999999999
7,lavado,86,102,32.46,29.33,43.79,34.3,0.0,51826.0,False,normal,normal,excelente,3.1300000000000026
51,natural,262,239,29.82,28.05,61.05,27.1,0.0,0.0,False,normal,normal,regular,1.7699999999999996
21,lavado,48,125,23.49,22.04,60.55,40.14,0.0,3071.1,False,normal,normal,excelente,1.4499999999999993
63,natural,306,206,34.68,32.87,47.78,24.56,0.0,0.0,False,normal,normal,baja,1.8100000000000023
17,lavado,108,68,30.45,27.06,51.17,26.35,0.0,64472.4,False,normal,normal,buena,3.3900000000000006
59,natural,216,431,25.27,22.87,62.75,34.72,0.0,0.0,False,normal,normal,baja,2.3999999999999986
25,honey,310,114,26.24,24.3,54.94,21.39,0.0,0.0,False,normal,normal,buena,1.9399999999999977
61,natural,296,86,30.83,28.42,52.0,20.41,0.0,33600.0,False,normal,normal,excelente,2.4099999999999966
36,honey,120,228,26.32,26.83,52.83,36.63,0.0,183.3,False,normal,normal,buena,-0.509999999999998
30,honey,14,464,32.32,29.09,43.16,47.64,0.0,62505.8,False,normal,normal,buena,3.2300000000000004
59,natural,532,115,25.76,24.7,56.72,16.97,0.0,534.3,False,normal,normal,baja,1.0600000000000023
22,lavado,170,34,23.94,22.74,58.79,18.55,0.0,0.0,False,normal,normal,regular,1.2000000000000028
